SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt
2460,5,2,Rural,1996
1549,5,1,Urban,2000
1768,5,2,Suburb,1982
1183,4,3,Rural,1998
2284,3,1,Suburb,1980
1011,5,2,Suburb,2020
1224,2,2,Rural,2013
1249,3,1,Urban,1958
1383,5,3,Rural,1955
2505,2,2,Urban,1984
2928,5,3,Urban,1970
2585,3,3,Suburb,2015
2979,3,2,Suburb,1973
2222,2,3,Suburb,1970
2800,3,1,Rural,1964
2933,4,3,Rural,1994
2754,5,1,Rural,2000
1076,5,3,Urban,1988
2627,3,1,Urban,2019
1692,2,1,Suburb,1971
1283,3,3,Suburb,1961
1555,5,1,Rural,1992
1961,4,3,Urban,1993
1228,2,1,Urban,2015
1171,5,2,Rural,2019
1799,4,2,Urban,2004
1311,3,1,Rural,1993
1010,3,1,Suburb,1963
2073,4,2,Urban,2010
1348,3,3,Urban,2016
